experiment_name,hidden_dim,num_hidden_layers,lambda_bc,adam_epochs,use_lbfgs,lbfgs_steps,l2_error,rel_l2_error,max_error,training_time_sec,final_total_loss,final_pde_loss,final_bc_loss
hd32_l4_adam_lbfgs,32,4,50.0,8000,True,500,0.05837424315745712,1.429150481757245,0.11791232498806106,121.46749973297119,6.222759111551568e-05,6.019940883561503e-06,1.1241529591643484e-06
hd64_l4_adam_lbfgs,64,4,50.0,8000,True,500,0.01878212147009674,0.4598342778510664,0.03789182803706208,112.69263625144958,5.336582034942694e-05,2.1591658878605813e-06,1.0241330983262742e-06
